day_pt,new_members,pct_opened_channels,interval_start_timestamp,pct_communicated
2024-10-23T00:00:00+00:00,5,40,2024-10-23T00:00:00+00:00
2024-10-24T00:00:00+00:00,2,50,2024-10-24T00:00:00+00:00,50
2024-10-25T00:00:00+00:00,2,50,2024-10-25T00:00:00+00:00
2024-10-26T00:00:00+00:00,1,,2024-10-26T00:00:00+00:00
2024-10-27T00:00:00+00:00,4,25,2024-10-27T00:00:00+00:00
2024-10-28T00:00:00+00:00,1,100,2024-10-28T00:00:00+00:00
2024-10-29T00:00:00+00:00,1,100,2024-10-29T00:00:00+00:00
2024-10-30T00:00:00+00:00,2,,2024-10-30T00:00:00+00:00
2024-10-31T00:00:00+00:00,4,50,2024-10-31T00:00:00+00:00
2024-11-01T00:00:00+00:00,4,75,2024-11-01T00:00:00+00:00
2024-11-02T00:00:00+00:00,2,50,2024-11-02T00:00:00+00:00,100
2024-11-03T00:00:00+00:00,2,50,2024-11-03T00:00:00+00:00
2024-11-04T00:00:00+00:00,1,100,2024-11-04T00:00:00+00:00,100
2024-11-05T00:00:00+00:00,3,66.66666666666666,2024-11-05T00:00:00+00:00,100
2024-11-06T00:00:00+00:00,2,50,2024-11-06T00:00:00+00:00
2024-11-07T00:00:00+00:00,0,,2024-11-07T00:00:00+00:00
2024-11-08T00:00:00+00:00,4,25,2024-11-08T00:00:00+00:00
2024-11-09T00:00:00+00:00,4,100,2024-11-09T00:00:00+00:00
2024-11-10T00:00:00+00:00,0,,2024-11-10T00:00:00+00:00
2024-11-11T00:00:00+00:00,1,100,2024-11-11T00:00:00+00:00
2024-11-12T00:00:00+00:00,2,50,2024-11-12T00:00:00+00:00
2024-11-13T00:00:00+00:00,1,100,2024-11-13T00:00:00+00:00,100
2024-11-14T00:00:00+00:00,2,,2024-11-14T00:00:00+00:00
2024-11-15T00:00:00+00:00,6,66.66666666666666,2024-11-15T00:00:00+00:00,33.33333333333333
2024-11-16T00:00:00+00:00,8,75,2024-11-16T00:00:00+00:00,12.5
2024-11-17T00:00:00+00:00,8,62.5,2024-11-17T00:00:00+00:00,25
2024-11-18T00:00:00+00:00,1,,2024-11-18T00:00:00+00:00,100
2024-11-19T00:00:00+00:00,4,50,2024-11-19T00:00:00+00:00
2024-11-20T00:00:00+00:00,4,50,2024-11-20T00:00:00+00:00,50
2024-11-21T00:00:00+00:00,1,100,2024-11-21T00:00:00+00:00,100
2024-11-22T00:00:00+00:00,4,50,2024-11-22T00:00:00+00:00
2024-11-23T00:00:00+00:00,1,100,2024-11-23T00:00:00+00:00
2024-11-24T00:00:00+00:00,2,100,2024-11-24T00:00:00+00:00
2024-11-25T00:00:00+00:00,2,50,2024-11-25T00:00:00+00:00,100
2024-11-26T00:00:00+00:00,1,,2024-11-26T00:00:00+00:00
2024-11-27T00:00:00+00:00,5,60,2024-11-27T00:00:00+00:00,20
2024-11-28T00:00:00+00:00,2,100,2024-11-28T00:00:00+00:00
2024-11-29T00:00:00+00:00,2,100,2024-11-29T00:00:00+00:00,50
2024-11-30T00:00:00+00:00,5,100,2024-11-30T00:00:00+00:00,20
2024-12-01T00:00:00+00:00,3,33.33333333333333,2024-12-01T00:00:00+00:00
